,Cod_setor,Cod_Grandes Regiões,Nome_Grande_Regiao,Cod_UF,Nome_da_UF ,Cod_meso,Nome_da_meso,Cod_micro,Nome_da_micro,Cod_RM,Nome_da_RM,Cod_municipio,Nome_do_municipio,Cod_distrito,Nome_do_distrito,Cod_subdistrito,Nome_do_subdistrito,Cod_bairro,Nome_do_bairro,Situacao_setor,Tipo_setor,LongevidadeIDHM,AlfabIDHM,RendaIDHM
42,350270510000003,3,Região Sudeste,SP,São Paulo,3511,Itapetininga,35044,Capão Bonito,0,Municípios não pertencentes a estrutura de RM,3502705,APIAÍ,350270510,ARAÇAÍBA,35027051000,ARAÇAÍBA,3502705000,APIAÍ (todos os setores),8,0,0.8333333333333330,0.9666666666666670,0.467666112335691
43,350270510000004,3,Região Sudeste,SP,São Paulo,3511,Itapetininga,35044,Capão Bonito,0,Municípios não pertencentes a estrutura de RM,3502705,APIAÍ,350270510,ARAÇAÍBA,35027051000,ARAÇAÍBA,3502705000,APIAÍ (todos os setores),8,0,0.7833333333333330,0.9357769423558900,0.44376031178561600
44,350270510000005,3,Região Sudeste,SP,São Paulo,3511,Itapetininga,35044,Capão Bonito,0,Municípios não pertencentes a estrutura de RM,3502705,APIAÍ,350270510,ARAÇAÍBA,35027051000,ARAÇAÍBA,3502705000,APIAÍ (todos os setores),8,0,0.6833333333333330,0.9833333333333330,0.4726789320911880
45,350270510000006,3,Região Sudeste,SP,São Paulo,3511,Itapetininga,35044,Capão Bonito,0,Municípios não pertencentes a estrutura de RM,3502705,APIAÍ,350270510,ARAÇAÍBA,35027051000,ARAÇAÍBA,3502705000,APIAÍ (todos os setores),8,0,0.5666666666666670,0.9144086021505380,0.4192277004405710
46,350270525000001,3,Região Sudeste,SP,São Paulo,3511,Itapetininga,35044,Capão Bonito,0,Municípios não pertencentes a estrutura de RM,3502705,APIAÍ,350270525,LAGEADO DE ARAÇAÍBA,35027052500,LAGEADO DE ARAÇAÍBA,3502705000,APIAÍ (todos os setores),1,0,0.75,0.9160976512689730,0.4275374802609100
47,350270525000002,3,Região Sudeste,SP,São Paulo,3511,Itapetininga,35044,Capão Bonito,0,Municípios não pertencentes a estrutura de RM,3502705,APIAÍ,350270525,LAGEADO DE ARAÇAÍBA,35027052500,LAGEADO DE ARAÇAÍBA,3502705000,APIAÍ (todos os setores),1,0,0.7833333333333330,0.9220022619832220,0.452138196552446
48,350270525000003,3,Região Sudeste,SP,São Paulo,3511,Itapetininga,35044,Capão Bonito,0,Municípios não pertencentes a estrutura de RM,3502705,APIAÍ,350270525,LAGEADO DE ARAÇAÍBA,35027052500,LAGEADO DE ARAÇAÍBA,3502705000,APIAÍ (todos os setores),1,0,0.75,0.9405861269238880,0.28085718914386300
49,350270525000004,3,Região Sudeste,SP,São Paulo,3511,Itapetininga,35044,Capão Bonito,0,Municípios não pertencentes a estrutura de RM,3502705,APIAÍ,350270525,LAGEADO DE ARAÇAÍBA,35027052500,LAGEADO DE ARAÇAÍBA,3502705000,APIAÍ (todos os setores),8,0,0.7666666666666670,0.9090626939788950,0.450922730288523
50,350270525000005,3,Região Sudeste,SP,São Paulo,3511,Itapetininga,35044,Capão Bonito,0,Municípios não pertencentes a estrutura de RM,3502705,APIAÍ,350270525,LAGEADO DE ARAÇAÍBA,35027052500,LAGEADO DE ARAÇAÍBA,3502705000,APIAÍ (todos os setores),8,0,0.8333333333333330,0.9338798068712840,0.21035842034085800
51,350270525000006,3,Região Sudeste,SP,São Paulo,3511,Itapetininga,35044,Capão Bonito,0,Municípios não pertencentes a estrutura de RM,3502705,APIAÍ,350270525,LAGEADO DE ARAÇAÍBA,35027052500,LAGEADO DE ARAÇAÍBA,3502705000,APIAÍ (todos os setores),8,0,0.7666666666666670,0.9838472834067550,0.33220784035458900
